Id,Background,Body,Face,Shirt,Accessory,Hat,minted,address,time,whitelist
257,None,Default,LMAO,Taekwondo,Pink Facepaint,Headphones,1,0xBB1756D747655b102706eB081dC2F854C5222e7B,2022. 9. 24. ?�후 2:00:25,
258,None,Default,Charismatic,Y-Shirts,Blue Facepaint,none,0,,,
259,None,Default,Neutral,Y-Shirts,Gold Piercings,none,0,,,
260,None,Default,Neutral,Y-Shirts,Cheering Towel,Gat,0,,,
261,Sweet Berry,Default,Vigorous,Formal Suit,none,none,0,,,
262,Purple,Default,LMAO,Y-Shirts,Lovely Sunglasses,none,0,,,
263,Purple,Default,Winky,Y-Shirts,KF94,Headphones,0,,,
264,Sweet Berry,Default,Sus,Padded,KF94,Devil,0,,,
265,Yellow,Default,Winky,Turtleneck,Purple Facepaint,none,0,,,
266,Y-Pattern,Default,Blessed,White Collar,none,Silver Crown,1,0x42D609cdb2DCf5b7af1f4d03959769F3A55a4e78,2022. 9. 24. ?�후 1:46:16,
267,None,Default,LMAO,M1,none,Angel,0,,,
268,None,Default,Kingnnoying,Tracksuit,Blue Facepaint,Beanie,0,,,
269,Pink,Default,Neutral,Cardigan,Dental,none,0,,,
270,Pink,Default,Winky,Y-Shirts,none,Beanie,1,,,
271,Blue,Default,Winky,Pink Hanbok,Nerdy Glasses,Headphones,0,,,
272,Zebra Stripes,Default,Sus,Hockey,Purple Facepaint,none,1,0xd7Df31b2129004a97c16a0a80DdFC1Fee9Afcb18,2022. 9. 24. ?�후 12:04:17,
273,Blue,Default,Neutral,Y-Shirts,Purple Facepaint,White Cap,0,,,
274,None,Default,Blessed,Cardigan,none,Floral,0,,,
275,None,Default,Sus,Y-Shirts,Smiley Badge,Floral,0,,,
276,Fresh Citrus,Default,Neutral,Techwear,Dental,White Cap,0,,,
277,Blocks,Default,Sus,Y-Shirts,Rayban,Beanie,0,,,
278,Blocks,Default,Neutral,Y-Shirts,none,Angel,0,,,
279,Yellow,Default,Neutral,Tiger Hide,Nerdy Glasses,none,0,,,
280,Aqua Stripes,Default,Winky,Pilot,Eyebrow Piercing,AirPods,1,0x0A624F17F49FF5168931654d0c3a51E7846E49EC,2022. 9. 24. ?�전 11:21:32,
281,None,Default,Neutral,Long Padding,none,none,1,0x45C5cE5b02e8062373f77AA78B97788e47C8886E,2022. 9. 24. ?�전 11:51:39,
282,None,Default,Neutral,M1,Cross Piercing,Angel,1,0x8cfb17b429F7CeA6afB8355627aa285Be5E97453,2022. 9. 24. ?�후 2:08:26,
283,Pink,Default,Neutral,Y-Shirts,none,none,0,,,
284,None,Default,Kingnnoying,Y-Shirts,Cross Piercing,none,0,,,
285,Fresh Citrus,Default,OMG,Y-Shirts,Blue Facepaint,none,0,,,
286,Purple,Default,Neutral,Gummies,Rayban,White Cap,1,0xba63aB062638E1A39E66B7CA9467D5a85e9BE124,2022. 9. 24. ?�전 11:37:37,
287,Aqua Stripes,Default,Neutral,Y-Shirts,Cross Piercing,Headband,0,,,
288,None,Default,Vigorous,Lab Coat,Purple Facepaint,Angel,1,0xB27271000125C43b97745951E72fEF0eA5aa0744,2022. 9. 24. ?�후 1:43:44,
289,Sweet Berry,Default,Hangover,Tartan,Green Facepaint,Headband,0,,,
290,Aqua Stripes,Default,OMG,Y-Shirts,none,Headphones,0,,,
291,Green,Default,Neutral,Y-Shirts,none,Tiger Hat,0,,,
292,Green,Default,Neutral,Y-Shirts,Purple Facepaint,none,0,,,
293,Zebra Stripes,Default,Blushy,Taekwondo,Rayban,Silver Crown,0,,,
294,None,Default,Neutral,Tartan,none,Gat,0,,,
295,Y-Pattern,Default,Drained,Military,none,Blue Cap,0,,,
296,Blocks,Default,LMAO,Tracksuit,Purple Facepaint,Headband,0,,,
297,None,Default,Sus,Formal Suit,Cheering Towel,none,1,0xd74536965B5899e708A8B2C7314156C7682E9d40,2022. 9. 24. ?�전 11:28:05,
298,Y-Pattern,Default,Neutral,Tracksuit,none,Headphones,0,,,
299,Y-Pattern,Default,OMG,Blue Hanbok,Plague Doctor,none,0,,,
300,None,Default,Neutral,Sailor,Blue Facepaint,Devil,1,0x3a8b0A5c7C39b795A7eDBdC4589cF2698b053142,2022. 9. 24. ?�전 10:09:53,
